Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
MAPK1	-0.05	kinase	 	-0.393	 	1.23E-08	"ANPEP,ATP1A2,BIRC5,C1S,CCNB1,CDH1,CDKN1A,CFB,COL7A1,CRABP2,DCN,DGKI,EGLN3,EGR2,EPCAM,FAT2,FBXO32,FN1,GPR83,HDC,IFI27,IFI6,IGFBP7,IL1RL1,ITGB3,LOX,MMP2,MMP9,MYBL2,NRP1,NT5E,OLFML2A,PAQR6,PITX2,PLA2G4F,PLXDC1,POSTN,PRSS12,SCNN1A,SFRP2,SNAI1,SPOCK1,SPP1,SPRY4,TNFRSF9,TSKU,VDR"	423 (26)
ATF5	-0.052	transcription regulator	 	 	 	0.0111	"PLAT,SAA1,SAA2"	 
PTK2	-0.055	kinase	 	-0.703	bias	0.000494	"CDKN1A,DSP,FN1,MMP2,MMP7,MMP9,PDGFRB,PRRX1,SNAI1,SPP1"	390 (21)
ACKR3	-0.055	G-protein coupled receptor	 	 	 	0.0000979	"AKR1C3,CCNB1,CDKN1A,CFH,CXCL12,ELN,FMOD,IGFBP7"	247 (11)
STK11	-0.056	kinase	 	-0.613	 	0.000105	"A2M,ASTN1,CCL18,CCNA2,CDH1,CDH8,CDKN1A,CPS1,CTPS1,DLGAP2,ECM2,ETV4,FN1,GALM,LUM,MCAM,MMP2,MMP9,NCAM2,NDUFA2,NRCAM,NT5E,PAK5,PTPRZ1,RND2,SCG2,SNAI1,SNAI2,SPP1,TTYH1"	368 (20)
RBPJ	-0.057	transcription regulator	Inhibited	-2.162	bias	0.00000182	"ARHGEF4,AXIN2,BMP7,CAMP,CDKN1A,CXCL12,CYP19A1,FGF1,FGF10,FGF7,GDF10,HEY2,IGF2,JAG1,MDK,MSTN,NGF,NRARP,PGF,SDC1,SOX9,TGFB2,TGFB3"	362 (19)
KLF11	-0.059	transcription regulator	 	1.291	 	0.000000336	"ADAMTS8,AGT,BMP7,CHRNB2,DCN,IL13RA2,ITGA2,ITGA3,ITGB3,ITGB6,LOX,MMP12,MMP2,MMP9,PDK4,PLAT,SMAD6,SNAI1,TGFB2,TGFB3,THBS2,TIMP2"	147 (7)
SMAD1	-0.067	transcription regulator	 	1.342	bias	0.0247	"ALPL,CDKN1A,ID4,SMAD6,SOX9,SPP1"	 
YY1	-0.067	transcription regulator	 	-0.674	 	0.00779	"BIRC5,CCNA2,CCNB1,CCR5,CDH1,CDKN1A,CHRDL1,CTNND2,CXCL12,CYP24A1,DKK2,FCER1A,FCRL6,GPC3,H3C3,H4C3,ID4,KLF2,LAMA1,MMP2,NGFR,TGFB2,TSIX,XIST"	350 (18)
DYRK1A	-0.067	kinase	Activated	2.216	bias	0.00464	"CCNB1,CDK1,CDKN1A,DLG4,MYBL2"	390 (21)
WDR77	-0.069	transcription regulator	 	0.365	bias	0.00563	"PSCA,SAA1,SERPINB5,SGK2,TFF3"	 
CSNK2A1	-0.072	kinase	 	0.128	 	0.000304	"CDH1,FN1,ITGA3,KLF2,SNAI2,TP63"	385 (23)
STK3	-0.075	kinase	 	0	 	0.00667	"BIRC5,GPC3,GPT,SPP1"	264 (9)
MITF	-0.076	transcription regulator	 	1.35	bias	0.00168	"ABCB5,ACAN,CCNB1,CMA1,FBXO32,FMOD,FN1,FOXD3,GPM6B,ITGA3,KIFC1,KIT,NGFR,SDC1,SERPINF1,SNAI1,SOX6,SOX9,SPC25,TBX2,TFAP2A,TPSAB1/TPSB2,ZNF114"	93 (4)
NFKBIA	-0.076	transcription regulator	 	1.096	 	4.31E-08	"A2M,AEBP1,ATP6V1B1,BPIFA1,CAMP,CCL20,CCNA2,CCNB1,CDH1,CDH13,CDH3,CDKN1A,CHI3L2,CITED4,COL5A2,CP,CX3CL1,CXCL12,CYP1B1,DCN,ESM1,FN1,GATD3A/GATD3B,GPX3,IFI6,IGF2,ITGA2,ITGA3,LCN2,LY6E,MFGE8,MMP9,NGF,NID1,OGN,PLAT,PTGES,PTPRZ1,RGS4,SDC1,SERPINB2,SFRP1,SLC12A2,SOAT1,SOD3,SOX9,SPOCK1,TFCP2L1,TGFB2,TIMP2"	450 (19)
NCOA4	-0.085	transcription regulator	 	-0.555	bias	0.0148	"CDH1,EHF,FGFR3,JAG1,NKX3-1"	 
CBFB	-0.086	transcription regulator	 	0.312	 	0.000368	"CCR5,CDH1,DSP,GPR83,HTRA1,ITGB6,KCNK5,MMP9,NRP1,PDE3B,SNAI2,SPP1,TPSAB1/TPSB2"	 
CREB1	-0.088	transcription regulator	 	-0.96	 	0.0000718	"ADGRA1,BHLHE22,BIRC5,CA10,CALCB,CAPN5,CCNA2,CCNB1,CDH11,CDH13,CDH8,CDKN1A,CGREF1,CIART,CYP19A1,DCX,DKK2,ECM1,EDIL3,EGR2,FN1,GPR83,GRIK2,KIAA1549L,LCN2,MCAM,MDGA1,MGAT4C,MUC5B,MYBL2,NKAIN2,NOTCH1,NRP1,PCDH19,PDE3B,PLAT,RALYL,RIPOR2,SCG2,SCN3B,SFRP4,SLC18A2,SMAD6,ST6GALNAC5,SULT2B1,TFAP2A,TSKU,XKR4,YPEL4,ZDHHC23"	228 (10)
BMI1	-0.089	transcription regulator	 	 	 	0.00447	"CDH1,CDKN1A,ID4,LOX,NGFR,NID1,RASSF9,SERPINB5,TUSC3"	 
REST	-0.09	transcription regulator	Inhibited	-2.935	bias	0.0000258	"CHRNB2,CXCL12,DCX,DDX25,GRIK3,GRIN2A,KIAA1549L,L1CAM,NCAM2,NKAIN2,NRP1,SCG2,SCN2A,SLC26A4,SLC7A14,SNAI1,SNAP25,STMN2,SYT7,VIP,XKR4"	 
RBM39	-0.091	transcription regulator	 	 	 	0.0494	HTRA1	 
SMAD4	-0.091	transcription regulator	Activated	3.07	bias	0.000436	"AGR2,BGN,BMP7,CCL20,CDH1,CDH3,CDKN1A,COL7A1,CYP19A1,FGFR3,FN1,FSTL3,HP,JAG1,JAG2,KLF15,MST1R,MUC4,PDGFRB,SMAD6,SNAI1,SNAI2,SSTR2,TGFB2,VIP"	385 (18)
NONO	-0.094	transcription regulator	 	-1	bias	0.0152	"PDE10A,PDE1B,PDE3B,PDE4C"	 
HIF1A	-0.094	transcription regulator	Activated	3.46	bias	1.91E-08	"ACAN,ADORA2B,AGT,AQP4,AXIN2,BGN,BIRC5,CCN3,CCR5,CDH1,CDKN1A,CLDN1,CTPS1,CXCL12,CYP2S1,CYP4F3,EGLN3,FHL1,FN1,FURIN,HP,HSPB1,IGF2,IGFBP2,ITGB3,KRT19,L1CAM,LOX,MMP2,MMP7,MMP9,MNX1,MST1R,NOTCH1,NOX4,NRARP,NT5E,NTRK2,PCDH10,PGF,PPFIA4,PROM1,SCG2,SFRP1,SNAI1,SNAI2,SOX9,TGFB2,TGFB3,TTN"	417 (20)
JMY	-0.1	transcription regulator	 	 	 	0.00706	"CDH1,HTRA1"	 
TNFRSF11A	-0.101	transmembrane receptor	 	-0.152	bias	0.018	"FN1,SNAI1,TFAP2A,TFAP2B"	 
MAP3K4	-0.101	kinase	 	 	 	0.00214	"CDH1,MMP2,SNAI2"	352 (20)
HMGA1	-0.102	transcription regulator	 	0.646	 	0.00287	"ALPL,H19,IGFBP4,IGFBP7,KCNJ11,KIT,KLF2,LAMA1,LY6E,MIA,MMP9,NECTIN1,PTH1R,SOD3,SPARC,TFAP2C"	257 (7)
PRKG2	-0.106	kinase	 	-1.982	bias	0.000183	"NES,PLP1,PROM1,SOX9"	251 (7)
ACVR2B	-0.107	kinase	 	 	 	0.0494	CDKN1A	 
BRD7	-0.107	transcription regulator	 	1.283	bias	0.00464	"CDH1,CDKN1A,FN1,VCAN,ZMAT3"	381 (21)
NRF1	-0.108	transcription regulator	 	0.862	bias	0.02	"CCL20,CDH1,CLDN1,ESM1,FTH1,SNAI1,SNAI2,VSNL1"	 
KMT2D	-0.108	transcription regulator	 	1.536	bias	0.0000582	"CA10,CA4,DSC3,DSG3,FBXL7,FHL1,FOXQ1,GALNT12,HFM1,IGSF1,IRF6,JAG2,LAMB3,LOXL1,MARVELD1,MEOX1,MMP9,MYOM3,NPR3,NT5E,PPP2R2B,RAB38,SMAD6,WTIP"	 
LCOR	-0.111	transcription regulator	 	-0.06	bias	0.0000594	"ADORA1,CDH1,CDKN1A,CYP26B1,IGFBP4"	 
ACVRL1	-0.113	kinase	 	1	 	0.00779	"CDKN1A,CXCL12,GDF15,IL1RL1,PLAT,SMAD6"	186 (7)
MAP2K1	-0.114	kinase	Activated	2.25	bias	0.0000327	"ACAN,ACSBG1,AXIN2,CALCB,CCNA2,CDKN1A,EGR2,ETV5,FURIN,GLI2,HDC,IL13RA2,ITGB3,MMP12,MMP2,MMP9,MUC5B,OLFM4,PLP1,PMP2,RAB38,SNAI2,SOX9,UNC5B"	415 (23)
CBX3	-0.121	transcription regulator	Activated	2	 	0.0000442	"BIRC5,CDH1,CDK1,CDKN1A,HSD11B2,ITGA7,SCNN1A"	187 (6)
ZBTB17	-0.13	transcription regulator	 	 	 	0.0196	"CCNA2,CCNB1,CDK1,CDKN1A,CRLF1,EDA2R,KIT,NGFR,NTRK1"	 
PDPK1	-0.131	kinase	 	-0.744	 	0.00502	"A2M,CDKN1A,KLF2,SERPINB2,SNAI1,XIST"	414 (20)
CXXC1	-0.134	transcription regulator	 	 	 	0.0494	CDKN1A	 
HMG20A	-0.135	transcription regulator	 	 	 	0.00214	"CDH1,CXADR,SNAI1"	336 (11)
DMTF1	-0.138	transcription regulator	 	 	 	0.0433	"ANPEP,CDKN1A"	 
STAT5A	-0.147	transcription regulator	 	1.755	 	0.00956	"A2M,ABCG1,AGR2,AKR1C3,AXIN2,CCR5,CDH1,CDKN1A,CHEK1,CPA4,CYP1B1,EGLN3,FOXQ1,KIT,KRT5,LAMB3,LCN2,MMP7,MUC20,PROM2,TACSTD2,TFF3,TNFRSF9,TSPAN8"	346 (17)
MAPK14	-0.149	kinase	 	-0.16	bias	0.0275	"AXIN2,CCNA2,CCNB1,CDH1,FN1,IGF2,MMP9,MUC5B,NGFR,NRP1,PTGES,SPP1,TIMP2,TRPA1,VDR,VIP"	 
DDIT3	-0.153	transcription regulator	 	-0.951	 	0.000704	"BHLHE22,FN1,ITGA2,JAG1,KRT6B,LCN2,LOX,PLAT,RGS4,SLC5A5,SNAI2,SPOCK1,TENM4,TGFB2,THBS2"	319 (13)
SIAH2	-0.154	transcription regulator	 	1.264	 	0.00305	"AKR1C3,CYP24A1,EGLN3,FGF1,NKX3-1,PLK3"	 
MED4	-0.155	transcription regulator	 	 	 	0.0494	HTRA1	 
EZH2	-0.161	transcription regulator	 	0.138	 	4.88E-11	"AADAT,ABCB5,ADRB1,ALPL,AMACR,AXIN2,BMP7,CACNA1E,CCR5,CDH1,CDKN1A,CLDN10,CX3CL1,CYP1B1,FBLN1,FRZB,FZD1,GDF15,GPR26,HSD11B2,KLF2,KRT6B,KRT81,LAMB3,LAMC2,LCN2,MMP2,MMP7,MMP9,MPZL2,MYEOV,NES,NGFR,NKD2,OXTR,PCDH10,PHEX,PITX2,PPP2R2B,PROM1,PTGES,PTN,RASSF9,SAA1,SAA2,SFRP2,SFRP4,SFRP5,SLC22A18AS,SNAI1,TGFB2,TIMP2,VDR"	396 (22)
SMARCB1	-0.164	transcription regulator	Activated	3.371	bias	0.0459	"A2M,CCNA2,CDH1,CDK1,CDKN1A,COL18A1,COL5A2,HP,IGFBP2,LBP,MYBL2,POSTN,PTN,SPARC"	 
CHUK	-0.168	kinase	Activated	3.344	bias	0.00000228	"AEBP1,CCN3,CCNB1,CDH13,CDKN1A,CLDN1,COL18A1,CP,CRLF1,CX3CL1,CXCL12,DCN,GRIN2A,HEY2,ITGB3,LCN2,MMP2,MMP9,NGF,NID1,NOTCH1,OGN,SERPINB2,SERPINB5,SFRP1,SOD3,SPP1,TP63"	405 (15)
ZBTB33	-0.169	transcription regulator	 	 	 	0.035	"CDH1,CDKN1A,MMP7"	 
CUX1	-0.177	transcription regulator	 	 	 	0.0000364	"CCN5,CCNA2,CDH1,CDKN1A,H1-5,H4C3,LTF,MMP2,NCAM1,PCDH10,SNAI1,SNAI2"	195 (7)
SNW1	-0.178	transcription regulator	 	 	 	0.0433	"CDKN1A,MMP9"	 
TNF	-0.182	cytokine	Activated	2.463	 	4.39E-25	"A2M,ADAMTS8,ADORA1,ADORA2B,ADRB1,AEBP1,AGT,ANKRD55,ANPEP,ANXA1,AOC3,ARHGAP23,ARSI,AXIN2,B4GALNT1,BBOX1,BGN,BIRC5,C1QTNF12,C6orf58,CA12,CAMP,CCDC15,CCL18,CCL20,CCL22,CCL28,CCN3,CCN4,CCN5,CCR5,CDH1,CDH11,CDH13,CDH3,CDKN1A,CFB,CHI3L2,CHSY3,CLDN11,CLEC11A,COL16A1,CP,CPA3,CRLF1,CX3CL1,CX3CR1,CXCL12,CXCL9,CYP19A1,CYP1B1,CYP26B1,DCD,DCN,DPYS,DSC3,DUSP4,EDAR,EDIL3,EGLN3,EGR2,EGR3,EHF,ENPP3,EPCAM,ESM1,ETV5,FAT2,FBXO32,FERMT1,FGF10,FGFR1,FMO1,FN1,FRZB,FTH1,GATA2,GATD3A/GATD3B,GBP6,GDF15,GSTA1,H19,HAS3,HDC,HEPACAM,HP,IDO1,IFI27,IFI6,IGF2,IGFBP2,IGFBP4,IL13RA2,IL17RD,IL1RL1,IL4I1,ITGA10,ITGA2,ITGB3,ITGB6,JAG1,JAG2,KIT,KL,KLF2,KRT15,KRT6B,LAMB3,LAMC2,LBP,LCN2,LGR5,LOX,LTBP2,MCAM,MEOX1,MIA,MMP12,MMP16,MMP2,MMP7,MMP9,MSLN,MST1R,MSTN,MUC20,MUC4,NCAM1,NGF,NGFR,NID1,NKD2,NKX3-1,NOSTRIN,NOTCH1,NOX4,NRARP,NRP1,NUAK2,OGN,OLFML2A,OLFML2B,P3H2,PAPPA,PCDH10,PI3,PLA2G2A,PLA2G3,PLAT,PLK2,PLK3,PLP1,POSTN,PTGES,RFLNA/ZNF664-RFLNA,RGS4,SAA1,SCNN1A,SCNN1B,SCUBE2,SDC1,SELP,SERPINB2,SERPINF1,SFRP1,SLC5A5,SLC7A2,SNAI1,SOAT1,SOD3,SOX9,SPARC,SPOCK1,SPP1,SUSD4,SYNPO,TCIM,TFAP2A,TFAP2C,TGFB2,TGFB3,THBS2,THY1,TIMP2,TINCR,TMC7,TMEM40,TNFRSF21,TNFRSF9,TNFSF15,TP63,TRARG1,TWIST2,USP2,VDR,VIP,XDH"	443 (17)
TRIM28	-0.192	transcription regulator	Activated	2	bias	0.017	"COL4A6,KLF2,MMP2,MYEOV,NRXN2,SOX6,TP53AIP1,TP73"	 
CNOT7	-0.193	transcription regulator	 	 	 	0.0169	"CLDN1,IFI27,IFI44L,IFI6,TFF3"	 
ZNF91	-0.194	transcription regulator	 	 	 	0.00557	"ENPP5,POSTN,TGFB3"	 
SEMA7A	-0.194	transmembrane receptor	Activated	2.121	bias	0.00000866	"CCN3,CCN4,CCN5,CCNA2,ELN,FN1,IL13RA2,SMAD6"	 
PRKAA2	-0.196	kinase	 	-1.922	bias	0.000109	"ASTN1,CDH1,CDKN1A,CXCL12,DLGAP2,DUSP4,FN1,GALM,IGFBP4,MMP9,NOX4,PAK5,PCOLCE,PRDM16,SNAI1,TTYH1"	369 (20)
DAXX	-0.198	transcription regulator	 	 	 	0.0486	"CDKN1A,HSPB1,TP53AIP1"	 
HDAC3	-0.199	transcription regulator	 	-1.571	 	0.00827	"CCNB1,CDH1,CDKN1A,FENDRR,HP,MMP12,MMP9,MUC4,SPP1,TBX2,TNNI2"	435 (24)
URI1	-0.201	transcription regulator	 	 	 	0.00214	"CCNB1,CDK1,NKX3-1"	 
RAF1	-0.202	kinase	Activated	3.134	bias	0.00113	"ANXA1,ATP6V1B1,CCN5,CDKN1A,CLDN1,DUSP4,EGR3,HDC,HSD11B2,HSPB1,ITGA2,ITGB3,MMP9,MYBL2,NGF,OPCML,PLAT,SCNN1A,SDC1,SERPINB2,SLC16A7,ST6GALNAC2"	398 (24)
JARID2	-0.204	transcription regulator	 	 	 	0.00295	"CDH1,CDK1,GATA2,NOTCH1"	217 (7)
ATF4	-0.206	transcription regulator	Activated	3.283	bias	0.0242	"AMPD1,ARHGAP23,ATP1A2,CDKN1A,FN1,GDF15,IGFBP2,IGFBP7,JAG1,NID2,NOX4,PMP22,SERPINF1,SNAI2,TGFB2,XDH"	 
VEGFA	-0.206	growth factor	Activated	3.757	bias	0.00454	"ANPEP,BIRC5,CDKN1A,CTSV,CXCL12,DUSP4,ESM1,ETV4,ETV5,EXOC3L2,FGFR1,FN1,IGFBP4,ITGA2,ITGB3,MMP12,MMP2,MMP9,NOTCH1,NRP1,PDGFRB,PLAT,SNAI2,SPARC,TNFRSF9,UNC5B"	382 (22)
SUB1	-0.209	transcription regulator	 	0	 	0.0128	"CAMK2B,FJX1,KCND1,KCNK2,STMN2"	 
IGF2R	-0.227	transmembrane receptor	 	1	bias	0.000975	"ENPP5,IGF2,POSTN,TGFB3"	 
MPP5	-0.236	kinase	 	 	 	0.0137	"CDH1,PMP22"	 
IKBKG	-0.24	kinase	Activated	3.843	bias	0.00341	"AEBP1,CDH13,CP,CX3CL1,CXCL12,DCN,GPT,LCN2,NGF,NID1,OGN,SERPINB2,SFRP1,SLC5A5,SOD3"	430 (18)
REL	-0.247	transcription regulator	Activated	2.882	bias	0.0272	"BIRC5,C1QTNF12,CACNA1E,CDH1,CDKN1A,CLDN10,CTSV,EDARADD,EGR2,ETV5,FN1,INSC,IRF6,MMP9,NRARP,PLK2,SNAI1,SNAI2,TNFRSF10C"	 
MAP2K2	-0.248	kinase	 	 	 	0.0419	"ACSBG1,CDKN1A,ETV5,ITGB3"	 
POU2F2	-0.249	transcription regulator	Activated	2.138	bias	0.00513	"CCR5,DACT3,FJX1,LY6E,PLEKHG1,SPP1,SSTR2,TIMP2,TNFRSF21,VIP,ZDHHC23"	 
SCML2	-0.251	transcription regulator	 	 	 	0.0494	CDKN1A	 
E2F1	-0.253	transcription regulator	 	1.383	bias	0.0392	"AGR2,ALPL,BIRC5,CCNA2,CCNB1,CDK1,CDKN1A,CHEK1,CRABP2,DGKI,DUSP4,EGR2,FGFR1,FGFR3,FHL1,H19,H2AC4,H2AC8,H2BC11,H4C8,HSD11B2,IGF2,JAG2,KCNJ11,KIT,MMP16,MUC4,MYBL2,NRP1,PDK4,PLK2,PLPPR4,SLC22A18AS,TP73"	 
SIRT1	-0.259	transcription regulator	 	-1.271	bias	0.00000104	"ABCG1,ACAN,AGT,BIRC5,CA12,CDH1,CDKN1A,CNTN6,CYP19A1,FBXO32,FGF10,FGF7,FGFR1,FGFR3,FN1,GBP6,GLI2,KLF2,LAMA2,LTBP2,LY6E,MMP2,MMP9,NCAM2,NEGR1,NLGN1,NLGN2,NTRK2,PCSK2,PDK4,PNPLA3,PRDM16,PTN,SCGN,SCNN1A,SFRP2,SFRP4,SFRP5,SOD3,SYNPO,TACSTD2,TIMP2,TMPRSS4,TP73"	374 (20)
SRA1	-0.262	transcription regulator	 	1.067	bias	0.018	"CCL20,MMP9,PRDM16,TGFB2"	 
RBL1	-0.267	transcription regulator	 	0.677	bias	0.0358	"CCNA2,CDK1,CDKN1A,H2AC8,MYBL2,NOTCH1,SFRP1,TP73"	 
LILRB1	-0.275	transmembrane receptor	 	-1.446	bias	0.00378	"FGFR3,HSPB1,MMP2,MMP9,SDC1"	 
FOXO3	-0.279	transcription regulator	 	1.882	 	0.000826	"ANXA1,AQP4,BIRC5,CCNB1,CDH1,CDKN1A,CLDN1,COMP,CTSV,DOK5,EGR2,FBXO32,FMOD,FN1,GATA2,GPX3,IGFBP7,JAG1,LCN2,MCAM,MMP9,MSTN,MYOCD,NT5E,PDE3B,PLA2G2D,SNAI1,SOX9,TCIM,TGFB2,TP63"	385 (19)
MESP1	-0.28	transcription regulator	 	1.964	bias	0.00667	"MYOCD,SNAI1,SNAI2,TWIST2"	 
HDAC1	-0.283	transcription regulator	 	-0.334	 	0.000346	"ACAN,AXIN2,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,KRT15,LCN2,LGR5,MMP9,MUC4,MYBL2,NKX3-1,OLFM4,PPP2R2B,SCN2A,SERPINB2,SFRP1,SNAI1,SNAI2,SOX9,SPP1,TBX2,TNNI2,TP73,VDR"	382 (21)
EED	-0.284	transcription regulator	Inhibited	-2.236	bias	0.0182	"BBOX1,IGFBP2,MMP2,MMP7,PPP2R2B,THY1"	 
PIK3CA	-0.289	kinase	 	 	 	0.0000524	"BIRC5,CCNB1,CDH1,JAG1,JAG2,PDGFRB,SLC5A5,SNAI1,SNAI2,SPARC,THY1,TP63,TWIST2"	382 (20)
GMNN	-0.304	transcription regulator	Inhibited	-2.828	bias	0.00762	"CDH1,CDKN1A,DSP,DUSP4,FRZB,IER5,NRP1,PITX2,TGFB2,TWIST2"	364 (15)
WBP2	-0.308	transcription regulator	Activated	3.039	 	0.0171	"ADGRF1,AXIN2,CDK15,COL4A6,COL6A3,CYP24A1,FHL1,FOXQ1,ISYNA1,ITGB3,LGR5,NECTIN1,PI16"	 
PROX1	-0.308	transcription regulator	 	-1.239	 	0.00802	"FGFR3,NRP1,RGS4,TNNI2,TNNT3"	 
HESX1	-0.31	transcription regulator	 	 	 	0.0433	"AXIN2,GATA2"	 
ADRA1A	-0.327	G-protein coupled receptor	 	 	 	0.000786	"CCNB1,CDK1,CTSV,EGR2,FGF7,FN1,LOX,MMP7,PRRX1"	247 (12)
ANGPT2	-0.34	growth factor	Activated	2.449	bias	0.005	"AXIN2,CDKN1A,CFB,COL18A1,FGF7,FKBP10,FN1,LEPR,MFGE8,MMP2,MMP7,MMP9,NOX4,PDGFRB,POSTN,PTGES,SERPING1,SNAI1,SOD3,THBS2"	399 (21)
NAMPT	-0.348	cytokine	 	-0.302	bias	0.0203	"CCL20,FN1,MMP9,PDGFRB,TFAP2A,TGFB2"	 
TFAP4	-0.374	transcription regulator	 	-0.41	 	0.000538	"CDH1,CDKN1A,CLDN1,FN1,GDF15,LGR5,SNAI1,STEAP3"	218 (7)
IL1B	-0.382	cytokine	Activated	2.478	bias	1.13E-10	"A2M,ACAN,ADAMTS3,ADORA2B,ALPL,ANXA1,AQP4,BGN,CCL20,CCL22,CCL28,CCR5,CDKN1A,CFB,CHST6,CP,CX3CL1,CX3CR1,CXCL12,CXCL9,CYP19A1,DCN,EGLN3,EHF,ELN,FGF7,FGFR3,FN1,FURIN,GBP6,GDF15,GSTA1,H19,HP,HSPB1,IDO1,IER5L,IGFBP4,IL1RL1,IL4I1,INSRR,ITGB3,KRT19,LAMB3,LAMC2,LBP,LCN2,LOX,MIA,MMP11,MMP12,MMP2,MMP7,MMP9,MUC4,MUC5B,NGF,NOTCH1,NRP1,NTRK1,OXTR,PAPPA,PCSK2,PI3,PLA2G2A,PLA2G3,PLAT,PLK3,POSTN,PTGES,SAA1,SAA2,SCNN1A,SCNN1B,SCUBE2,SDC1,SERPINB2,SLC6A4,SNAP25,SOX9,SPARC,SPP1,SSTR2,STMN2,TCIM,TGFB3,THY1,TIMP2,TINCR,TNFRSF9,TNFSF15,VCAN,VDR,VSNL1,XDH"	432 (18)
FOXM1	-0.383	transcription regulator	 	1.256	bias	0.00000126	"ANXA1,AXIN2,BIRC5,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,CXCL12,FZD1,HSD11B2,LOX,MMP2,MMP7,MMP9,NES,PROM1,SFRP1,SNAI1,SNAI2,TWIST2,VCAN"	375 (24)
AIP	-0.386	transcription regulator	 	0.728	 	0.0327	"BIRC5,CX3CR1,CYP1B1,NPR3,PDE1B,RGS4"	 
AURKA	-0.404	kinase	 	-0.857	 	0.00145	"CDH1,CDKN1A,MMP2,TP73,XIST"	326 (18)
RRP1B	-0.409	transcription regulator	 	 	 	0.02	"BIRC5,BMP7,CCNA2,CDK1,CDKN1A,CHEK1,CYP24A1,RPL39,SMAD6,SPP1,VDR"	 
CXCL5	-0.435	cytokine	 	 	 	0.032	"CDH1,SNAI1"	 
CMTM8	-0.438	cytokine	 	 	 	0.0494	CDH1	 
EGF	-0.445	growth factor	Activated	3.476	bias	3.87E-12	"ANPEP,BIRC5,CCL20,CCNB1,CDH1,CDH11,CDK1,CDKN1A,CXCL14,DCN,DIO3,DUSP4,EGR2,EGR3,EPCAM,FABP7,FGFR1,FN1,GATA2,GDF15,HAS3,IGF2,IGFBP2,IGFBP4,ITGA2,ITGB3,JAG2,KRT15,KRT19,KRT5,LCN2,LTF,MMP12,MMP2,MMP9,MNX1,MUC4,MUC5B,NCAM1,NES,NGF,NOTCH1,NRP1,PDGFRB,PDK4,PGF,PLAT,PLXDC1,PROM1,PTGES,SCG2,SCNN1B,SDC1,SERPINB2,SNAI1,SNAI2,SNAP25,SPARC,SPP1,SPRY4,TFAP2A,TGFB3,TNFRSF9,TP63,VCAN,VDR,VIP"	485 (24)
JADE1	-0.447	transcription regulator	 	 	 	0.0494	CDKN1A	 
MBD2	-0.466	transcription regulator	 	-0.811	 	0.00495	"ADGRB1,CDH1,CDKN1A,CEL,LHX8,MMP2,MMP9,PROM1,SGK2"	 
ASCL2	-0.477	transcription regulator	 	 	 	0.0433	"CCNB1,CYP19A1"	 
IL6ST	-0.478	transmembrane receptor	 	0.842	bias	0.0351	"A2M,HP,LTF,NOTCH1,SLC5A7,TRPA1,VIP"	 
TBX3	-0.478	transcription regulator	 	 	 	0.035	"CDH1,SMPX,TBX2"	 
MYCN	-0.5	transcription regulator	Inhibited	-3.077	 	0.0472	"BIRC5,CDH11,CDKN1A,COL18A1,COL5A2,COL8A1,DKK3,FN1,IGFBP7,ITGA2,ITGA3,LRRN1,MMP2,MRC2,NCAM1,NGFR,NTRK1,RPL39,SLC16A7,SPARC,TIMP2"	 
PKNOX2	-0.504	transcription regulator	 	1	bias	0.0104	"CDH1,CDKN1A,SNAI2,TP73"	 
BCL6	-0.518	transcription regulator	 	-0.285	 	0.0224	"A2M,ACAN,C1QTNF12,CDKN1A,CHEK1,EGR3,FMOD,FTH1,GLI2,ITGA3,MIR155HG,PDIA2,PLA2G2A,RGS4,SDC1,SH3PXD2B,SOX6,SOX9,TACSTD2"	 
BRCA1	-0.53	transcription regulator	 	1.604	 	0.000228	"ANXA8/ANXA8L1,BIRC5,CAMK2B,CCNB1,CDH3,CDKN1A,COL18A1,CYP19A1,CYP1B1,GDF15,HSD11B2,HSPB1,IFI27,IFI6,KIT,KRT5,NOTCH1,SNAI1,SNAI2,TP63,VCAN"	408 (20)
E2F5	-0.537	transcription regulator	 	 	 	0.0371	"CDK1,CDKN1A,MYBL2,SERPINB2"	 
PLK1	-0.552	kinase	 	 	 	0.0387	"CDH1,CDKN1A,SNAI1,SNAI2,TGFB2,TGFB3"	 
DTX1	-0.574	transcription regulator	 	0.555	 	0.00946	"LY6E,SNAI1,SPP1,SPRY4,TGFB2"	321 (11)
PLAG1	-0.727	transcription regulator	 	1.94	bias	0.018	"CD300C,CRLF1,ETV4,IGF2,KRT19,TNNT3,TPSAB1/TPSB2"	 
GDF5	-0.769	growth factor	 	 	 	0.032	"ALDH1A2,FRZB"	 
