Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
SPP1	-0.269	cytokine	 	1.083	bias	0.00208	"ABCG2,BAX,CCL20,CD163,CXCL12,GFAP,IL1B,ITGA2,ITGA3,ITGB3,JAG1,LOX,MMP14,MMP2,MMP7,NOTCH1,S100A6,SERPINF1,SNAI2,SPARCL1"	482 (17)
PPARGC1A	0.097	transcription regulator	Inhibited	-3.801	 	0.00000474	"ADAMTS2,ALAS1,ANGPTL1,APOD,ASPN,BAX,BBC3,CCN4,CKMT2,COMP,CXCL14,DCN,DIO2,DPT,FBLN1,FBLN2,FIBIN,FREM1,GDF15,GPC6,GRIN2C,IGFBP6,IGFBP7,INHBA,LAMA2,LAMB1,LUM,MAP2K6,MMP2,OGN,OLFML3,PCSK5,POSTN,SEMA3C,SEMA6A,SESN2,SLIT3,SPARCL1,SVEP1,TIMP2,TIMP3"	382 (14)
CBX5	-0.102	transcription regulator	Inhibited	-2.357	bias	0.00000429	"ABCB1,AGR2,AKR1C3,ASCL2,CDH17,CPA4,FOXA1,HDGFL3,ITGA7,KIT,LAMB3,LCN2,MMP7,PROM2,PRR15L,PRSS23,QPRT,SCN2A,TFF3,TSPAN8"	 
MAPK8	-0.27	kinase	 	1.57	 	0.00221	"ABCB1,APOD,APOE,BBC3,BMP2,CCND1,DIO2,DUSP4,GADD45A,IL1B,MMP2,MMP7,MUC5B,NRP1,PTGES,SESN2,TBX21,TSC22D3,WNT5A"	351 (14)
CHUK	-0.271	kinase	Activated	2.539	bias	2.95E-09	"AEBP1,BMP2,CCN3,CCND1,CDH13,COL18A1,CRLF1,CTSB,CX3CL1,CXCL12,DCN,F3,FAS,GRIN2A,GRIN2B,IGFBP6,IL1B,ISG15,ITGB3,KCNH2,LCN2,MMP2,NID1,NOTCH1,OGN,PLA2G4A,SEMA3C,SERPINB2,SERPINB5,SFRP1,SMOC2,SOD3,TIMP3,TMEM176B,TP63"	376 (12)
MAP2K5	-0.274	kinase	 	0.849	bias	0.032	"CCND1,CYP24A1,MUC5B,PDE3A"	 
SMAD3	0.48	transcription regulator	 	1.929	bias	0.00000353	"ADORA1,ALPL,ASPN,BGN,BMP2,CCL20,CCND1,CCND2,CES1,COL7A1,CRISPLD2,DUSP4,ELN,FBN2,FSTL3,GLI1,GNRHR,IL1B,INPP5D,JAG1,LUM,PCSK5,PMEPA1,SNAI2,SOX2,SPARC,SPHK1,SPON1,SSTR2,TBX21,TBX3,THBS4,TIMP3,TPSAB1/TPSB2"	445 (19)
AGER	-0.286	transmembrane receptor	 	-0.677	 	0.0156	"CCND1,CHGB,COL4A1,CTSK,F3,FAS,IL1B,MMP2,SCG2"	 
SPDEF	-0.071	transcription regulator	Inhibited	-2.689	bias	0.00000286	"COL16A1,COL4A1,COL4A2,COL4A5,COL4A6,COL5A2,DKK3,FGFR1,ITGA3,ITGA5,LAMC1,SDC1,SERPINB5,SNAI2,WNT5A"	278 (7)
PLK1	-0.314	kinase	 	-1.501	 	0.0182	"BAX,BBC3,CLSPN,MDM2,PYCARD,SFN,SNAI2"	 
INHA	-0.331	growth factor	 	1.115	 	0.000000143	"ADAMTSL2,BAX,BCAN,CCN4,CCND2,COL4A5,COL4A6,COMP,CYP26B1,FGFR1,HSD17B2,IGFBP4,INHBA,ITGA3,KIT,KRT19,LAMC3,MATN2,MMP2,PRSS23,SFRP4"	225 (10)
GATA2	0.815	transcription regulator	 	1.352	 	0.00000113	"ALAS2,BPIFB1,C1QC,CALCB,CAMP,CCN3,CCND1,CEL,CES1,CMA1,CPA3,CX3CL1,CXCL12,DIO2,EPHA3,F2R,FYB2,GABRP,GIMAP8,GNRHR,GPX3,HBA1/HBA2,IGFBP7,ITGA2,KIT,LCN2,LTF,LYPD6B,MCTP1,MDK,MGST1,MMP2,MMRN1,OLFM4,PGR,PHLDA3,RGS13,RXRG,SELP,SERPINB2,SOX2,SSTR2,TGM2,TMEM40,TPSAB1/TPSB2,TRIM58,ZMAT3"	380 (13)
HBEGF	-0.339	growth factor	 	1.154	bias	0.000452	"ANKRD37,BMP2,CCND1,CCND2,ELN,FGF2,GJA1,NES,NRP1"	396 (19)
MAPK9	-0.353	kinase	 	1.018	 	0.0149	"BAX,BBC3,CAV1,DIO2,FAS,GADD45A,IGFBP2,IL12RB2,IL1B,MUC5B,PLA2G4A,PLAT,PTGES,SOD3,TBX21,TNFSF8"	 
EZH2	0.175	transcription regulator	 	-0.081	 	0.00000078	"ADRB1,ALPL,AMACR,BMP2,BMP7,CCND1,CCND2,CLEC3B,CNR1,COL4A1,CRISPLD2,CX3CL1,FBLN1,FOXA1,FRZB,FZD1,GDF15,IL12RB2,IRAK3,KRT6B,LAMB3,LAMC2,LCN2,LYPD6B,MMP2,MMP7,MYEOV,NES,NGFR,NME5,OXTR,PGR,PLA2G4A,PTGES,RAP1GAP,SAA1,SAA2,SFN,SFRP2,SFRP4,SLC1A3,TBX21,TBX3,TIMP2,TIMP3,WIF1"	348 (16)
CNTF	-0.364	cytokine	Activated	2.277	 	0.000499	"A2M,CNR1,CNTFR,FGF2,FGFR1,GFAP,GJA1,LBP,NGFR,NOTCH1,POMC,SOCS2,WNT5A"	336 (13)
ATM	-0.483	kinase	 	0.33	bias	0.038	"BAX,BBC3,BLM,CCND1,CHEK1,FAS,GADD45A,TGM2"	 
RELA	-0.012	transcription regulator	Activated	2.434	bias	0.000000518	"A2M,ABCB1,ABCG2,ALPK2,APOE,ASCL2,BAX,BBC3,BMP2,CAMP,CAV1,CCL20,CCND1,CFB,CFTR,CTSB,CX3CL1,DIO2,ELN,F3,FAS,FGF10,FGF2,FSCN1,GDF15,GSTA1,IGFBP2,IL1B,ISG15,KIT,KRT15,LGR5,LUM,MDM2,MIA,MMP7,NOTCH1,PI3,PTGDS,PTGES,S100A6,SAA1,SAA2,SCN2A,SELP,SMAP2,SMC1B,SMOC2,TBX21,TGM2,TNFRSF10A,TP63"	439 (16)
PDPK1	-0.488	kinase	 	0.449	 	0.00155	"A2M,CAV1,CCND1,CST3,DYNC1I1,IL1B,SERPINB2"	358 (14)
CEBPB	0.394	transcription regulator	Activated	3.777	bias	0.000000456	"ABCB1,ADH1C,ADM,AKR1C3,ALDH1A2,ANTXR1,CCND1,CCND2,CDH3,CDO1,CFTR,COL5A2,CYP24A1,DCN,EDIL3,EPHA7,FAS,FBLN1,FHL1,FZD1,GADD45A,GFAP,GSTA1,HSD11B1,IGFBP4,IL1B,IRAK3,KRT15,KRT6B,LAMC1,LBP,LCN2,LEPR,MAPT,MIA,MMP11,NRP1,OXTR,PI3,PLA2G4A,POMC,PTGES,SAA1,SAA2,SERPINB2,SLC12A2,TMEM176A,TMEM176B,UPP1"	399 (19)
MECP2	0.038	transcription regulator	 	-1.424	 	0.000000388	"ABCB1,APOE,CAMK2B,CAPG,DPYSL2,EFNB3,FOXP2,GABRB3,GJA1,GRIN2A,HBA1/HBA2,IGF2,LGALS1,NGFR,NPY1R,NRP2,NTRK2,PLAAT3,PLP1,PLXNB1,RELN,SCN2A,SCN3A,SLC6A2,SRPX2,TIAM1"	 
HMGA1	-0.382	transcription regulator	 	0.212	 	0.000000346	"ALPL,CAV1,CAV2,CCND1,CCND2,COL4A1,COL4A2,CPE,FSTL1,GSN,H19,IGFBP4,IGFBP7,KIT,LAMA1,LAMB1,LY6E,MAPT,MIA,PTH1R,SHC3,SOD3,SOX4,SPARC,TFAP2C"	472 (23)
ETV5	2.263	transcription regulator	 	-0.39	 	0.000000237	"BAX,CAV1,CAVIN1,CAVIN2,CCND1,CXCL12,DPYSL2,ETV5,ITGA5,KRT19,LCN2,MMP14,MMP2,PMP22,S100A14,S100A6,SAMHD1,SNAI2,SOAT1,TIMP3"	197 (8)
IL6	-0.492	cytokine	Activated	3.286	bias	0.00000362	"A2M,ABCC1,ABCC2,ABCG2,ADGRB1,ADM,ADORA2B,ALAS1,ANPEP,APOE,BAX,BBC3,BGN,BMP2,BST2,CCL20,CCND1,CD163,CD209,CDKN3,CES1,CFH,CHEK1,CIB2,COMP,CRLF1,CST3,CTSK,DCN,ETV4,F3,FAS,FGF2,FSCN1,GADD45A,GFAP,GLI1,GSTA1,IGF2,IGFBP4,IGFBP6,IGFN1,ITGB3,KIT,LBP,LCN2,LGALS1,LTF,MERTK,MFAP4,MMP2,MMP7,NOTCH1,OXTR,PGF,PLAT,POMC,PRNP,PTGES,ROR1,SAA1,SAA2,SCGB2A2,SCN9A,SLC12A2,SMIM3,SOCS2,SPC25,STOM,TBX21,TGM2,TLR6,WNT5A"	350 (12)
OSM	-0.541	cytokine	 	1.224	 	2.68E-08	"A2M,ABCC1,AKAP3,AKR1C1/AKR1C2,AKR1C3,AMACR,BBOX1,C1R,C1S,CAMP,CCL20,CCND1,CCND2,CDH3,CHI3L2,COL8A1,CRLF1,CTSV,CXCL12,DHCR24,DSG3,ECM2,EMP3,F3,FGF2,GAS7,GJB5,GMPR,GPNMB,GRIN2A,GRIN2C,HSD11B1,IGFBP6,IL1B,JAG1,KCNG1,KLK7,KRT19,LBP,LCN2,MMP2,MSC,MX1,NOMO1 (includes others),OLFML2A,PGF,PI3,PLA2G4A,PLCB4,POMC,PRR4,PTGES,PTPRZ1,PYGL,QSOX1,RNASE7,SAA1,SELP,TIMP3,TRIM22,TUBA1A,WNT5A,ZNF467"	297 (13)
SMAD4	-0.008	transcription regulator	 	1.535	 	9.24E-08	"ACKR1,AGR2,BBC3,BGN,BMP2,BMP7,CCL20,CCND1,CCND2,CDH3,COL7A1,FAP,FSCN1,FSTL3,GADD45A,GCNT1,GJA1,GLI1,GNRHR,IL1B,INPP5D,IRAK3,JAG1,JAG2,MDM2,NPPC,SMO,SNAI2,SOX2,SPHK1,SSTR2,TBX21,TBX3,TIMP3,TNFRSF10A"	419 (18)
PRKAA2	-0.573	kinase	 	-1.718	 	0.0156	"ALAS1,BAX,CHGB,CXCL12,DUSP4,ELOVL2,GALM,IGFBP4,ITIH5,MGST1,TGM2,TTYH1"	 
NOSTRIN	-1.399	transcription regulator	Inhibited	-3.422	bias	4.33E-08	"CAV1,COL18A1,FGF1,ITGA5,ITGB3,KIT,MMP2,NPR1,PGF,SELP,TEK,TFPI"	71 (3)
GLI1	1.383	transcription regulator	Activated	4.662	bias	3.65E-08	"ABCG2,BNC1,CAV1,CCND1,CCND2,DIO2,ELAVL2,FAS,FGF1,FGF10,FHL1,GLI1,GPC3,GREM2,IGF2,IGFBP6,IGFBP7,JAG2,KRT15,KRT19,MMP11,MMP2,NES,PAPSS2,PLXDC1,POMC,PTCH2,PTH1R,SCD5,SFRP1,SOX2,TIMP3,WIF1"	381 (15)
EDN1	-0.576	cytokine	Activated	4.17	bias	0.0000705	"CCND1,COL4A1,COL7A1,COMP,CST3,FGF2,GJA1,INHBA,ITGA2,ITGA5,ITGB3,LEPR,MCAM,MMP2,MMP7,NRG1,PLCB4,POMC,RAMP3,SDC1,SERPINB2,TGM2,TIMP3,TTN,VWF"	593 (24)
TNFSF10	-0.593	cytokine	 	0.703	 	0.0463	"BAX,CTSB,IFI27,IFI6,IL1B,ISG15,MMP2,TNFRSF10A,TNFRSF10C,TP63"	 
SP1	-0.095	transcription regulator	Activated	3.362	bias	1.95E-08	"ABCB1,AEBP1,AKAP12,ALAS2,ALOX12,ALOX15B,ALPL,ANK1,APOE,BAX,BBC3,BMP7,CAMP,CAV1,CCL20,CCND1,CCND2,CES1,COL7A1,COL8A1,CRABP2,CXCL12,CYBRD1,DHCR24,F2R,F3,FAS,FES,FGF10,FGF2,FGFR1,FOLR2,GDF15,GJA1,IGF2,IGFBP4,IL12RB2,IL1B,IRAK3,ITGA2,ITGB3,KIT,KRT19,LAMA1,MMP11,MMP14,MMP2,MUC5B,NES,NGFR,NPR1,PGR,PLA2G4A,PRNP,PTH1R,SLC6A2,SLC9A3,SNCG,SOAT1,SPARC,THRB,TIMP2,TIMP3,VWF"	496 (22)
RUNX3	0.715	transcription regulator	 	-0.676	bias	1.12E-08	"ABCC1,ABCC2,BAX,BBC3,CAPN6,CCND1,CHST3,COL12A1,COL4A1,FGF2,FSTL1,IL1B,JAG1,LOX,MID1,MMP2,MSRB3,NEGR1,PXDN,RNF150,SNAI2,SVEP1,TIMP2,TPSAB1/TPSB2,VWF"	402 (17)
BRCA1	-0.562	transcription regulator	Activated	2.003	 	7.45E-09	"ALDH1A3,ANXA8/ANXA8L1,ASCL2,BAX,CAMK2B,CCND1,CDH3,COL18A1,DDIT4,FAS,FOXA1,GADD45A,GDF15,HSPB1,IFI27,IFI6,IFIT3,KIT,KRT5,LAMA3,MATN4,MDM2,MX1,NOTCH1,PHLDA1,PLTP,RAD51,S100A2,SFN,SNAI2,TP63"	372 (16)
CCL2	-0.635	cytokine	Activated	2.321	 	0.0235	"CCND1,F3,FOLR2,IL1B,INHBA,ITGA5,LCN2,MMP2,NOTCH1,PTGDS"	 
LRP8	-0.681	transmembrane receptor	 	 	 	0.0257	"DAB1,RELN"	 
MAP3K1	-0.69	kinase	Activated	2.36	bias	0.0021	"CCN3,CCND1,COL4A1,FAS,HSPB1,LOXL3,PGR,PLA2G4A,TNFRSF10A"	447 (21)
FOS	0.152	transcription regulator	 	0.307	 	4.86E-09	"A2M,ABCB1,ABCC1,AKR1C3,ALAS1,ALDH1A3,CAMP,CCL20,CCND1,CHODL,COL16A1,COL18A1,CRABP2,CTSB,CTSV,DIO2,DSG3,F3,FGF2,FOLR2,FOXA1,FRZB,FSTL1,GAS2,GJA1,GNRHR,HBA1/HBA2,IGFBP6,IL1B,IRAK3,KRT15,LAMA3,LAMB3,LOX,LTBP2,MDM2,MGST1,MMP2,MMP7,MMRN1,MSLN,NPTX2,OXTR,PGR,PHLDA1,PKIB,PLA2G4A,PLAT,PMEPA1,POMC,PTCHD1,PTGDS,PTH1R,PTPRZ1,RAP1GAP,S100A10,SDC1,SERPINB2,SFRP2,SFRP4,SNAI2,SNCG,SPHK1,TIPARP,TLL2,WNT5A"	410 (15)
PRKD1	-0.715	kinase	 	1.761	bias	0.0133	"AJUBA,CCND1,CCND2,F3,IL1B,LOXL3,MMP2"	 
GDF5	-0.856	growth factor	 	 	 	0.0371	"ALDH1A2,FRZB"	 
IL1RN	-0.86	cytokine	 	-1.133	bias	0.0221	"CCL20,GJA1,HDAC9,HSD11B1,IFI27,IFI6,IFIT3,IGFBP4,IL1B,L1CAM,MX1,SLC15A3,TRIM22"	 
EGF	-0.877	growth factor	Activated	3.267	bias	3.43E-10	"ABCG2,ALOX12,ANPEP,BBC3,CAV1,CAVIN2,CCL20,CCND1,CCND2,CHGB,CXCL14,DCN,DIO2,DIO3,DUSP4,F3,FABP7,FGF2,FGFR1,FSTL1,GADD45A,GDF15,GFAP,GGT5,GJA1,GNRHR,IGF2,IGFBP2,IGFBP4,IL1B,INHBA,ITGA2,ITGB3,JAG2,KRT15,KRT19,KRT5,LCN2,LTF,MMP2,MUC5B,NES,NOTCH1,NRG1,NRP1,PDE3A,PGF,PGR,PLAT,PLXDC1,PTGES,S100A10,SCG2,SDC1,SEMA6A,SERPINB2,SNAI2,SOX2,SOX4,SPARC,SPHK1,SPRY4,ST3GAL4,TGM2,TIMP3,TP63"	539 (18)
WNK4	-0.933	kinase	 	 	 	0.0257	"CFTR,LHX8"	 
SMARCA4	0.124	transcription regulator	Activated	3.757	bias	2.08E-10	"A2M,ABCB1,AGMAT,AGR2,ALDH1A3,C1orf54,C2CD6,CCDC9B,CCND1,CHODL,COL7A1,CTSB,CYP4B1,DUSP4,ECM2,EMP3,F3,FAS,GADD45A,GJB5,GLI1,IFI27,IGFBP4,IGFBP7,IL1B,INHBA,ITGA3,ITGA5,ITGA7,KCNS3,KIT,KRT15,LAMA3,LAMC2,LGALS1,LOX,LUM,MFGE8,MMP2,MMP7,NAP1L3,NIM1K,NOSTRIN,NRP1,NRP2,NTNG1,PHLDB1,PLAT,PPP1R14C,PXDNL,RAMP1,RHBDL2,S100A2,S100A6,SCGB2A2,SERPINB2,SERPINB5,SOCS2,SOD3,SOX2,SPHK1,SRPX,STXBP6,TBX15,TBX21,TCIM,TEC,TIMP2,TMEM154,TNFRSF10C,TNNI2,TNNT3,TRIM36,TSPAN8"	454 (17)
HTT	0.072	transcription regulator	Activated	3.631	 	1.78E-10	"ACKR1,ADAM23,ADAMTS2,ADCY5,AKAP12,AMACR,APOE,BBC3,C1QTNF3,C1R,CA12,CACNA2D3,CAMK2B,CCN4,CCND1,CIT,CNR1,COL16A1,COL18A1,COL4A1,COL4A2,CSN3,CX3CL1,DCN,DIO2,DKK3,DLG4,DNAJB1,ECRG4,EMP3,FABP7,FGF1,FGFR1,FHL1,GAS7,GCLM,GFAP,GNAO1,GPC1,GPX3,GRIN2A,GRIN2B,GRIN2C,GSN,HAP1,HBA1/HBA2,HUNK,IGF2,KCNC3,KCNK2,KCTD17,KL,LOX,LTBP2,LTF,MAN1A1,MCAM,MFAP4,MMP14,MMP2,NGFR,NTRK2,PDLIM4,PRKACB,RAP1GAP,RXRG,SCN4B,SERPINF1,SFRP1,SLC12A2,SLC1A3,SOCS2,SYN2,TFAP2C,TGM2,THRB,TIAM1,TIMP3,TNNI2,TNNT3,UCHL1,VSNL1"	454 (18)
JUN	-0.075	transcription regulator	Activated	2.435	bias	1.68E-11	"A2M,ABCB1,AKAP12,ALAS1,ALOX12,APOE,BAX,BBC3,CA3,CAMP,CAV1,CCL20,CCN3,CCND1,CCND2,CMTM5,CX3CL1,CYGB,DIO2,F3,FABP7,FAS,FGF2,FOLR2,FOXA1,FRZB,GADD45A,GJA1,GNRHR,GPT,IGFBP2,IGFBP4,IGFBP6,IGFBP7,IL1B,IRAK3,KRT15,LAMB3,LBP,LGR5,MDM2,MMP2,MMP7,OXTR,PGR,PKIB,PLA2G4A,PTGDS,PTGES,PXDN,S100A10,SAA1,SDC1,SERPINB2,SERPINB5,SNAI2,SNCG,SOX2,SPARC,SPHK1,TIMP3,TNFRSF10A,TNFSF15,TP53AIP1,WNT5A"	468 (17)
CTNNB1	0.847	transcription regulator	Activated	5.022	bias	1.65E-11	"ABCB1,ABCC1,ADGRG2,ALDH1A2,ALDH1A3,AOC3,APOD,ASCL2,BBC3,BGN,BMP2,BMP7,CA3,CCN4,CCND1,CCND2,CNR1,CNTFR,COL4A1,COL4A2,COL4A5,COL4A6,CRABP2,CST4,CXCL12,CXCL14,CYP24A1,DIO2,DOK1,DPEP1,ECRG4,EDIL3,EPHB3,ETV4,F2R,FAS,FBLN2,FSTL3,GALM,GDF15,GFAP,GJA1,GLI1,GNAO1,GRIK1,HSD17B2,IGF2,IGFBP2,IL1B,KIT,KRT5,L1CAM,LAMB1,LAMC2,LFNG,LGR5,LSP1,LY6E,MEOX1,MFGE8,MMP14,MMP16,MMP2,MMP7,MYBPC1,NES,NGFR,NOTCH1,NRG1,NRP2,OGN,PLS3,PMP22,PTCH2,SAA1,SCGB2A2,SEMA3C,SEMA6A,SERPINA5,SERPINB2,SFN,SFRP1,SFRP4,SHOX2,SLC12A2,SLC26A2,SLC38A5,SLC6A2,SNAI2,SOX11,SOX2,SOX4,SPRY4,SUSD2,SYNM,TBX21,TGM2,TIMP3,TP63,TSPAN8,WIF1"	403 (18)
BDNF	-1.111	growth factor	 	1.297	 	0.0000169	"BMP2,BMP7,CASQ2,CAV2,CCND2,CNR1,CSPG4,CYGB,DUSP4,FSCN1,GFAP,GNAO1,GRIN2A,GRIN2B,GRIN2C,LAMC1,LCN2,LGALS1,LYPD1,MAPT,NGFR,NPR1,NTRK2,PLP1,PLTP,POMC,PRSS12,RELN,S100A10,SFRP1,SFRP2,SPARC,SYN2,TIAM1,TIPARP,TUBA1A,VSNL1"	319 (12)
NFKBIA	0.465	transcription regulator	 	1.01	 	1.04E-11	"A2M,AEBP1,ALOX15B,BAX,BMP2,BPIFA1,CAMP,CCL20,CCND1,CCND2,CDH13,CDH3,CFTR,CHI3L2,CITED4,COL5A2,CTSB,CX3CL1,CXCL12,DCN,F3,FAS,FGF2,FSCN1,GADD45A,GATD3A/GATD3B,GPX3,GSTM5,GZMK,IFI6,IGF2,IGFBP6,IL1B,ISG15,ITGA2,ITGA3,KCNH2,LCN2,LY6E,MDM2,MFGE8,MMP14,MSC,NID1,OGN,PLAT,PMEPA1,PTGES,PTPN13,PTPRZ1,SDC1,SEMA3C,SERPINB2,SFRP1,SLC12A2,SOAT1,SOD3,TIMP2,TIMP3,TMEM176B,TNFRSF10A"	460 (15)
AURKB	-1.13	kinase	Inhibited	-2.433	bias	0.000469	"ANK1,BAX,BBC3,BLM,SERPINB5,ZMAT3"	380 (11)
TP73	0.725	transcription regulator	Activated	3.919	 	3.99E-12	"ABCB1,ABCC1,ADAM23,ADORA2B,AEN,ALAS2,ARHGAP22,BAX,BBC3,BDKRB2,BMP7,C1R,CCN5,CDKN3,CNTFR,COL18A1,COL5A2,CX3CL1,DAB1,DDIT4,FAS,FGF2,GADD45A,GPNMB,HS6ST1,IGFBP4,IGSF3,IL1B,ITGA5,JAG1,JAG2,KIT,MDK,MDM2,MICOS10-NBL1/NBL1,MMP14,MMP2,MMP28,NAP1L3,NOTCH1,NRP1,PLCD3,PMP22,PTGES,RELN,S100A2,SCRG1,SERPINA5,SERPINF1,SFN,SLC4A3,SMO,SNAI2,TIMP3,TNFRSF10A,TP53AIP1,TRIM22,TSPAN1,ZMAT3"	376 (15)
TP53	0.443	transcription regulator	Activated	6.241	 	3.6E-12	"A2M,ABCB1,ABCC1,ABCC2,ABCG2,ADGRB1,ADORA2B,AEN,AKAP12,ALDH1A2,ALDH1A3,ALDH4A1,ANK1,ANTXR1,ANXA8/ANXA8L1,APOE,BAX,BBC3,BDKRB2,BMX,C1QC,CAMK2B,CAV1,CAV2,CCN5,CCND1,CCND2,CDH3,CDKN3,CEL,CGREF1,CHEK1,CKMT2,COL14A1,COL18A1,COL4A1,COL4A2,COL5A2,COL7A1,CTSB,CTSK,CX3CL1,CXCL12,CYP24A1,CYP26B1,DDIT4,DHCR24,DKK3,DLGAP1,DNAJC12,DOK1,DPEP1,DSC3,DUSP4,EDA2R,EDIL3,EMILIN1,F2R,F3,F5,FAM83D,FAS,FBLN2,FGF2,FGF7,FGFR1,FHL1,FMO1,FSTL1,FSTL3,GADD45A,GAS7,GATM,GDF15,GJA1,GJB3,GNA14,GPM6B,GPR156,GPR27,GPR61,GPR87,GPX3,GSN,GSTM5,H19,HDAC9,HSPB1,HSPB7,HSPH1,IER5,IGF2,IGFBP2,IGFBP4,IGFBP7,IL1B,INHBA,ISG15,ITGA2,KCNG1,KCNH2,KIT,KRT15,LAMC1,LAMC2,LGR5,LOX,LSP1,MAP2K6,MATN4,MCAM,MDM2,MFAP2,MMP2,MX1,NDUFA4L2,NOTCH1,NRP1,PARD6G,PDE2A,PFKFB4,PGR,PHLDA1,PHLDA3,PLAAT3,PLTP,PMEPA1,POSTN,PRNP,PTCHD4,PTGDS,PTPRM,PYCARD,RAD51,RAMP3,RGS13,RND3,S100A2,S100B,SCPEP1,SELP,SEMA3C,SEMA6A,SEPTIN5,SERPINB2,SERPINB5,SESN2,SFN,SFRP1,SFRP2,SLC5A8,SNAI2,SOCS2,SOX2,SPC25,SPHK1,SSPN,STOM,TBX3,TGM2,THBS4,TIMP2,TIMP3,TLR6,TNFRSF10A,TNFRSF10C,TP53AIP1,TP63,TRIM22,TSC22D3,TSKU,TTN,UPP1,ZMAT3"	474 (17)
TNF	-1.17	cytokine	Activated	3.708	 	3.41E-28	"A2M,A4GALT,ABCC1,ABCC2,ABCG2,ADCY5,ADM,ADORA1,ADORA2B,ADRB1,AEBP1,AKAP12,ALDH1A3,ALOX15B,AMH,ANPEP,AOC3,APOE,ARHGAP22,ARSI,ASCL2,BAX,BBC3,BBOX1,BDKRB2,BGN,BMP2,BST2,C1QTNF12,CA12,CAMP,CAV1,CCDC15,CCL20,CCL28,CCN3,CCN4,CCN5,CCND1,CCND2,CD163,CD209,CDH13,CDH3,CDO1,CFB,CFTR,CHI3L2,CHST7,CHSY3,CIB2,CLDN11,CLEC11A,COL15A1,COL16A1,CPA3,CRISPLD2,CRLF1,CTSB,CTSK,CX3CL1,CXCL12,CYP26B1,DCN,DEPP1,DSC3,DUSP4,DUSP9,EDIL3,ENPP3,ETV5,F3,FAS,FGF10,FGF2,FGFR1,FMO1,FRZB,FSCN1,GADD45A,GATD3A/GATD3B,GBP6,GCLM,GDF15,GFAP,GFRA2,GJA1,GSTA1,H19,HDAC9,HEPACAM,HSD11B1,IFI27,IFI6,IFIT3,IGF2,IGFBP2,IGFBP4,IGFBP6,IL17RD,IL1B,INHBA,INPP5D,IRAK3,ISG15,ITGA10,ITGA2,ITGA5,ITGB3,ITGB6,JAG1,JAG2,KCNH2,KIT,KL,KRT15,KRT6B,LAMA3,LAMB3,LAMC1,LAMC2,LBP,LCN2,LFNG,LGR5,LOX,LTBP2,MAP2K6,MCAM,MEOX1,MFSD2A,MGST1,MIA,MMP14,MMP16,MMP2,MMP28,MMP7,MSC,MSLN,MX1,NGFR,NID1,NLRP3,NNMT,NOSTRIN,NOTCH1,NRP1,NSG1,OGN,OLFML2A,OLFML2B,P3H2,PDE2A,PHLDA1,PI3,PLA2G4A,PLA2G4C,PLAAT3,PLAT,PLIN4,PLP1,PLPP1,POMC,POSTN,PRNP,PRSS23,PTGES,PYCARD,RARRES2,RCN3,RFLNA/ZNF664-RFLNA,RNASE7,RND3,S100A10,SAA1,SCN9A,SCUBE1,SDC1,SELP,SEMA3C,SERPINB2,SERPINF1,SFRP1,SLC12A1,SLC15A3,SLC1A3,SLC5A8,SLC9A3,SNCG,SOAT1,SOCS2,SOD3,SOX4,SPARC,SPHK1,TBX21,TCHH,TCIM,TEK,TFAP2C,TFPI,TGM2,TIMP2,TIMP3,TMEM176B,TMEM40,TMEM52B,TNFRSF10A,TNFRSF21,TNFSF15,TNFSF8,TNR,TP63,TSC22D3,WNT5A"	429 (14)
TWIST1	0.998	transcription regulator	Activated	2.45	 	4.41E-13	"ACAN,APOD,BAX,CCDC3,CCN4,CXCL12,DCN,DDR2,DKK3,EMILIN1,EMP3,ENPP3,FAS,FBN2,FGF10,FIBIN,GLI1,GPC1,GSN,IGFBP4,IL1B,ITGB3,KIT,MFGE8,MMP2,MRC2,OLFML3,PTPRZ1,PXDN,SDC3,SNAI2,SPHK1,TBX21,TIMP3,TLL2,TNFRSF21"	416 (18)
FGF9	-1.21	growth factor	 	1.964	bias	0.0477	"BAX,CCND1,FGF10,FGF7"	 
CXCL8	-1.47	cytokine	 	1.234	 	0.000092	"ABCB1,ABCG2,BAX,COL12A1,COL18A1,CPE,F3,FAS,IL1B,ITGA5,MMP2,SNAI2,SOX2,TNFRSF10A"	372 (17)
INHBA	-1.607	growth factor	Activated	2.695	bias	0.000681	"AKR1C3,BAX,BMP2,CCND2,DACH1,ECSCR,FOLR2,FSTL3,GNRHR,INHBA,IRX1,LOX,MMP2,NRG1,PCSK5,POMC,SERPINB2,SERPINB5,SLC5A8,SOX2,SOX4,TPSAB1/TPSB2"	393 (19)
CNR1	-1.669	G-protein coupled receptor	Activated	2.872	 	0.000817	"ADORA1,ALPL,APOE,BMP2,BMP7,CNR1,CORO2A,FGF10,FGF2,HEYL,KLK7,KRT6B,LAMA1,MDK,POMC,RXRG,S100A6,S100B"	238 (11)
